asin,aspect,fear,anger,anticip,trust,surprise,positive,negative,sadness,disgust,joy
B00005LBZO,product,0.04487179487179487,0.015151515151515152,0.08813131313131313,0.08793706293706295,0.026515151515151516,0.2777583527583527,0.05769230769230769,0.004662004662004662,0.0,0.06394716394716395
B00005LBZO,product_recipient,0.018686868686868686,0.051515151515151514,0.10883838383838383,0.10378787878787879,0.033080808080808086,0.22500000000000003,0.12222222222222222,0.036363636363636355,0.012626262626262626,0.07575757575757576
B00005LBZO,year,0.013157894736842105,0.017543859649122806,0.0807017543859649,0.09912280701754386,0.048245614035087724,0.1429824561403509,0.10964912280701752,0.013157894736842105,0.02631578947368421,0.0807017543859649
B00005LBZO,time,0.0,0.027777777777777776,0.5537037037037038,0.027777777777777776,0.05,0.1611111111111111,0.06481481481481481,0.037037037037037035,0.0,0.07777777777777778
B00005LBZO,bike,0.0,0.05,0.05,0.0,0.0,0.25,0.15,0.1,0.0,0.0
B00005LBZO,pedal,0.0,0.3125,0.0625,0.0,0.0,0.3125,0.0625,0.0,0.0,0.0
B00005LBZO,seat,0.05,0.13333333333333333,0.05,0.2,0.0,0.1,0.35,0.11666666666666665,0.0,0.0
B00005LBZO,wheel,0.05555555555555555,0.0,0.0,0.08333333333333333,0.0,0.4166666666666667,0.1111111111111111,0.0,0.0,0.0
B00005LBZO,condition,0.25,0.0,0.13333333333333333,0.05,0.05,0.13333333333333333,0.08333333333333333,0.0,0.0,0.05
B00005LBZO,today,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666
B000GPLT68,product,0.03329503144317959,0.026593091407906222,0.08838918283362729,0.0887730924767962,0.04038800705467373,0.2159451659451659,0.036537330981775425,0.022845295993444144,0.016716548198029677,0.08483824131972281
B000GPLT68,product_recipient,0.01680960548885077,0.026243567753001715,0.11380789022298457,0.03487707261292167,0.03160377358490566,0.19887078330474559,0.07104059462550029,0.010377358490566039,0.0018867924528301887,0.09825614636935391
B000GPLT68,wheel,0.044444444444444446,0.027777777777777776,0.054761904761904755,0.06547619047619047,0.033862433862433865,0.3202380952380952,0.1148148148148148,0.044444444444444446,0.04259259259259259,0.08492063492063491
B000GPLT68,time,0.014285714285714285,0.01241830065359477,0.6204948646125116,0.02054154995331466,0.04554154995331466,0.09806255835667599,0.028174603174603175,0.010084033613445379,0.01241830065359477,0.07915499533146592
B000GPLT68,quality,0.0,0.0,0.13952380952380952,0.08396825396825397,0.022857142857142857,0.26015873015873014,0.0,0.0,0.0,0.09349206349206349
B000GPLT68,race,0.041666666666666664,0.013888888888888888,0.075,0.12777777777777777,0.030555555555555558,0.09166666666666667,0.027777777777777776,0.0,0.0,0.09166666666666667
B000GPLT68,gift,0.012987012987012986,0.0,0.21525974025974026,0.01406926406926407,0.183008658008658,0.2444805194805195,0.012987012987012986,0.017857142857142856,0.0,0.20844155844155843
B000GPLT68,year,0.022727272727272728,0.056818181818181816,0.09318181818181817,0.059848484848484845,0.08257575757575757,0.11136363636363637,0.10227272727272728,0.011363636363636364,0.08712121212121211,0.1
B000GPLT68,piece,0.0,0.0,0.09025974025974026,0.1487012987012987,0.03636363636363637,0.1577922077922078,0.18181818181818182,0.0,0.0,0.11233766233766235
B000GPLT68,christmas,0.09,0.09,0.045,0.06999999999999999,0.065,0.045,0.09,0.02,0.04,0.045
B000Q9KPB4,product,0.06024669774669775,0.024053724053724055,0.0588786213786214,0.07426323676323679,0.015796703296703296,0.2284507159507159,0.1460830835830836,0.07168803418803418,0.013476800976800977,0.06347263847263848
B000Q9KPB4,model,0.08516865079365078,0.024007936507936506,0.02956349206349206,0.08978174603174603,0.0,0.460218253968254,0.14409722222222224,0.0710813492063492,0.01011904761904762,0.04429563492063492
B000Q9KPB4,base,0.10034965034965036,0.031818181818181815,0.029137529137529136,0.5012820512820514,0.0,0.09883449883449882,0.12686480186480187,0.07989510489510489,0.031818181818181815,0.0
B000Q9KPB4,quality,0.07976190476190474,0.017857142857142856,0.04642857142857143,0.12023809523809523,0.028571428571428574,0.20952380952380958,0.12142857142857141,0.0976190476190476,0.017857142857142856,0.04642857142857143
B000Q9KPB4,wire,0.1357142857142857,0.014285714285714287,0.09523809523809523,0.11190476190476191,0.0,0.2285714285714286,0.1357142857142857,0.12142857142857143,0.014285714285714287,0.0
B000Q9KPB4,box,0.09259259259259259,0.027777777777777776,0.18518518518518517,0.09259259259259259,0.0,0.2777777777777778,0.12962962962962962,0.12962962962962962,0.06481481481481481,0.0
B000Q9KPB4,time,0.027065527065527065,0.038176638176638175,0.5128612128612129,0.05140415140415141,0.03553113553113553,0.1387057387057387,0.10077330077330077,0.008547008547008548,0.019658119658119658,0.06727716727716727
B000Q9KPB4,corner,0.12414965986394556,0.08333333333333333,0.04081632653061224,0.05612244897959184,0.0,0.18367346938775508,0.45068027210884354,0.04081632653061224,0.0,0.02040816326530612
B000Q9KPB4,top,0.05673076923076924,0.0,0.21506410256410255,0.25245726495726495,0.0,0.3004807692307692,0.07756410256410257,0.06298076923076923,0.0,0.034722222222222224
B000Q9KPB4,price,0.03125,0.0,0.05625,0.025,0.025,0.275,0.03125,0.03125,0.0,0.025
B002AKKO6S,product_recipient,0.018214285714285714,0.002857142857142857,0.09578571428571428,0.06016666666666667,0.05076190476190476,0.3455952380952382,0.053571428571428575,0.015357142857142856,0.002857142857142857,0.1948333333333333
B002AKKO6S,string,0.049999999999999996,0.04308300395256917,0.04308300395256917,0.04268774703557312,0.015217391304347825,0.18102766798418973,0.20177865612648224,0.03221343873517787,0.0,0.04308300395256917
B002AKKO6S,product,0.025,0.014285714285714285,0.039285714285714285,0.014285714285714285,0.047619047619047616,0.21428571428571427,0.08333333333333333,0.047619047619047616,0.0,0.014285714285714285
B002AKKO6S,year,0.0,0.0,0.06845238095238095,0.05357142857142857,0.017857142857142856,0.3005952380952381,0.026785714285714284,0.008928571428571428,0.0,0.16666666666666666
B002AKKO6S,quality,0.03571428571428571,0.0,0.1384920634920635,0.15575396825396828,0.05972222222222222,0.29642857142857143,0.12142857142857143,0.014285714285714287,0.0,0.10674603174603174
B002AKKO6S,sound,0.0,0.003787878787878788,0.11306517556517558,0.13290644540644544,0.057972582972582974,0.2944805194805195,0.020833333333333332,0.013888888888888888,0.0,0.15473184223184225
B002AKKO6S,price,0.018181818181818184,0.026446280991735537,0.1256198347107438,0.04986225895316805,0.03471074380165289,0.3362258953168044,0.13939393939393938,0.0303030303030303,0.0,0.05743801652892562
B002AKKO6S,tune,0.0,0.0,0.022222222222222223,0.022222222222222223,0.07777777777777778,0.022222222222222223,0.1111111111111111,0.05555555555555555,0.0,0.022222222222222223
B002AKKO6S,body,0.010416666666666666,0.027777777777777776,0.06458333333333334,0.18263888888888888,0.020833333333333332,0.23680555555555557,0.13194444444444445,0.09375,0.0,0.06458333333333334
B002AKKO6S,instrument,0.041666666666666664,0.03361344537815126,0.13655462184873948,0.0740546218487395,0.0740546218487395,0.4380252100840336,0.08333333333333333,0.023809523809523808,0.0,0.09488795518207283
B004KU83C8,product,0.02204301075268817,0.008602150537634409,0.10669975186104219,0.07659222497932176,0.026468155500413565,0.18684863523573203,0.09710504549214226,0.01935483870967742,0.008602150537634409,0.06058726220016543
