B00005LBZO,year,car,kid,son,toy,time,bike,kettcar,cart,pedal
B000GPLT68,car,son,wheel,time,quality,race,gift,grandson,year,piece
B000Q9KPB4,case,car,product,display,model,plastic,base,quality,item,wire
B002AKKO6S,guitar,string,size,year,quality,sound,price,tune,toy,thing
B004KU83C8,train,brio,set,car,son,grandson,product,boxcar,quality,thomas
B004LH01ZW,truck,battery,product,wheel,grandson,son,toy,light,day,rc
B006RKH1I6,toy,son,arm,quality,poli,show,transformer,robocar,year,amber
B006RKBK0Q,toy,son,arm,poli,quality,show,robocar,time,year,leg
B006RKFHBY,toy,son,quality,poli,year,robocar,arm,show,transformer,roy
B00AM9SZWO,toy,bus,tayo,bong,son,carry,kid,bongbong,quality,year
B00APTT9SU,bus,son,tayo,toy,year,kid,rogi,daughter,quality,time
B00E849LS6,car,product,case,price,display,card,collection,wall,plastic,wheel
B00J97X2YG,car,window,fan,product,kulcar,vehicle,rubber,air,unit,sun
B00JPTG45C,axle,tool,car,wheel,pinewood,derby,guide,nail,side,year
B00KFBS5QA,car,son,light,product,grandson,communication,quality,seller,price,shipping
B00KS6ADQW,scar,paint,pop,collection,item,disney,awesome,detail,job,box
B00S4RM1XK,owl,daughter,cute,beanie,color,eye,gift,son,baby,wife
B00TSV67XG,cupcake,party,time,movie,quality,easy,piece,sturdy,theme,cute
B00TWG57CY,toy,bruder,grandson,car,door,quality,jeep,year,son,part
B00V8LIPFW,toy,bruder,car,grandson,year,door,jeep,son,quality,vehicle
B0155MEP1C,car,battery,price,son,year,product,control,fun,time,speed
B0155MVMFO,car,battery,time,rc,product,year,plastic,kid,controller,speed
B015SKSQUW,tattoo,halloween,product,day,costume,skin,year,scar,price,time
B0162HF12Q,car,time,day,product,son,part,rc,battery,thing,wheel
B016YXI7YC,drone,battery,time,camera,flight,motor,quad,review,size,plastic
B017AYXV9U,battery,truck,time,car,rc,part,son,fun,minute,speed
B018VW1X4U,car,son,toy,light,year,quality,sound,bugatti,product,door
B01B55BPDY,set,k'nex,car,kid,piece,building,year,motor,fun,kit
B01CA4R218,car,son,quality,box,grandson,door,sound,product,color,nephew
B01CWSRW62,car,battery,fun,son,control,toy,work,christmas,minute,remote
