B00005LBZO,year,car,kid,son,toy,time,bike,pedal,child,seat
B000GPLT68,car,son,wheel,time,quality,race,gift,grandson,year,piece
B000Q9KPB4,product,model,base,quality,item,wire,box,time,corner,thing
B002AKKO6S,string,year,quality,sound,price,tune,toy,thing,daughter,body
B004KU83C8,set,car,son,grandson,product,quality,thomas,track,kid,year
B004LH01ZW,battery,product,wheel,grandson,son,toy,light,day,minute,review
B006RKH1I6,son,arm,quality,show,transformer,year,car,daughter,form,hour
B006RKBK0Q,son,arm,quality,show,time,year,leg,amazon,kid,car
B006RKFHBY,son,quality,year,arm,show,transformer,kid,korea,item,leg
B00AM9SZWO,bong,son,carry,kid,bongbong,quality,year,daughter,time,lot
B00APTT9SU,son,year,kid,rogi,daughter,quality,time,size,show,door
B00E849LS6,car,product,price,card,collection,wall,plastic,wheel,star,shipping
B00J97X2YG,window,fan,product,vehicle,rubber,air,unit,sun,day,heat
B00JPTG45C,tool,wheel,derby,nail,side,year,product,slot,groove,metal
B00KFBS5QA,car,son,product,grandson,communication,quality,seller,price,shipping,day
B00KS6ADQW,paint,collection,item,awesome,detail,job,box,addition,product,toy
B00S4RM1XK,daughter,cute,color,eye,gift,son,baby,wife,blue,collection
B00TSV67XG,time,quality,easy,piece,sturdy,theme,cute,perfect,stand,product
B00TWG57CY,toy,bruder,grandson,door,quality,year,son,part,child,vehicle
B00V8LIPFW,toy,bruder,grandson,year,door,son,quality,vehicle,part,child
B0155MEP1C,car,price,son,year,product,fun,time,speed,wheel,kid
B0155MVMFO,car,time,rc,product,year,plastic,kid,controller,speed,fun
B015SKSQUW,product,day,costume,skin,year,price,time,zombie,job,look
B0162HF12Q,time,day,product,son,part,battery,thing,wheel,minute,fun
B016YXI7YC,battery,time,flight,motor,quad,review,size,plastic,product,money
B017AYXV9U,truck,time,part,son,fun,minute,speed,body,thing,day
B018VW1X4U,son,toy,year,quality,product,door,great,seller,price,box
B01B55BPDY,k'nex,car,kid,piece,year,motor,fun,kit,part,race
B01CA4R218,son,quality,box,grandson,door,product,color,nephew,engine,piece
B01CWSRW62,battery,fun,son,toy,christmas,minute,thing,grandson,day,plug
