B00005LBZO,product,product_recipient,year,time,bike,pedal,seat,wheel,condition,today
B000GPLT68,product,product_recipient,wheel,time,quality,race,gift,year,piece,christmas
B000Q9KPB4,product,model,base,quality,wire,box,time,corner,top,price
B002AKKO6S,product_recipient,string,product,year,quality,sound,price,tune,body,instrument
B004KU83C8,product,product_recipient,set,quality,thomas,track,year,box,engine,fun
B004LH01ZW,product_recipient,product,battery,wheel,light,day,minute,review,fun,color
B006RKH1I6,product_recipient,arm,quality,show,transformer,year,product,form,hour,set
B006RKBK0Q,product_recipient,arm,product,quality,show,time,year,leg,amazon,transformer
B006RKFHBY,product_recipient,product,quality,year,arm,show,transformer,korea,leg,day
B00AM9SZWO,product_recipient,bong,carry,bongbong,quality,year,product,time,lot,picture
B00APTT9SU,product_recipient,year,rogi,quality,time,size,show,door,..,hand
B00E849LS6,product,price,product_recipient,card,collection,wall,plastic,wheel,star,shipping
B00J97X2YG,window,fan,product,vehicle,rubber,air,unit,sun,day,heat
B00JPTG45C,tool,wheel,derby,product,nail,side,year,slot,groove,metal
B00KFBS5QA,product,product_recipient,communication,quality,seller,price,shipping,day,door,wheel
B00KS6ADQW,product,paint,collection,awesome,detail,job,product_recipient,box,addition,character
B00S4RM1XK,product_recipient,cute,color,eye,gift,baby,product,blue,collection,super
B00TSV67XG,product,time,quality,easy,piece,sturdy,theme,cute,perfect,stand
B00TWG57CY,product_recipient,product,bruder,door,quality,year,part,vehicle,christmas,officer
B00V8LIPFW,product_recipient,product,bruder,year,door,quality,vehicle,part,price,christmas
B0155MEP1C,product,product_recipient,price,year,fun,time,speed,wheel,rc,box
B0155MVMFO,product,product_recipient,time,rc,year,plastic,controller,speed,fun,wheel
B015SKSQUW,product,product_recipient,day,costume,skin,year,price,time,zombie,job
B0162HF12Q,product,product_recipient,time,day,part,battery,wheel,minute,fun,drive
B016YXI7YC,product,battery,time,flight,motor,quad,review,size,plastic,money
B017AYXV9U,truck,time,product_recipient,product,part,fun,minute,speed,body,day
B018VW1X4U,product_recipient,product,year,quality,door,great,seller,price,box,gift
B01B55BPDY,product_recipient,product,k'nex,piece,year,motor,fun,kit,part,race
B01CA4R218,product_recipient,product,quality,box,door,color,engine,piece,year,price
B01CWSRW62,product_recipient,battery,product,fun,christmas,minute,day,plug,great,wheel
